emotion,songs
sad,https://naasongs.vip/myuploads/uploads/Englsih/Believer%20By%20Imagine%20Dragons%20From%20Believer.mp3
love,"https://naasongs.vip/myuploads/uploads/Tamil%20Songs/Kutty%20Pattas%20By%20Santhosh%20Dhayanidhi,%20Rakshitha%20Suresh,%20Santhosh%20Dhayanidhi%20&%20Rakshitha%20Suresh%20From%20Kutty%20Pattas.mp3"
love,https://naasongs.vip/myuploads/uploads/Private%20Songs/Asku%20Maaro.mp3
fun,https://naasongs.vip/myuploads/uploads/Enjoy%20Enjaami%20/Enjoy%20Enjaami.mp3
love,https://naasongs.vip/myuploads/uploads/Kadhal%20Ondru%20Kanden/Kanna%20Veesi.mp3
fun,https://naasongs.vip/myuploads/uploads/Eeswaran/Mangalyam-Masstamilan.in.mp3
happiness,https://naasongs.vip/myuploads/uploads/Paiya/Adada-Mazhaida.mp3
enthusiasm,https://naasongs.vip/myuploads/uploads/Paiya/Poongatre-Poongatre.mp3
boredom,https://naasongs.vip/myuploads/uploads/Paiya/En-Kadhal-Solla.mp3
happy,https://naasongs.vip/myuploads/uploads/Paiya/Thuli-Thuli-Mazhaiyaai.mp3
sadness,https://naasongs.vip/myuploads/uploads/Master/Kutti%20Story.mp3
relief,https://naasongs.vip/myuploads/uploads/Naanum%20Rowdy%20Dhaan%20/Naanum%20Rowdy%20Dhaan%20-%20Yennai%20Maatrum%20Kadhale.mp3
neutral,https://naasongs.vip/myuploads/uploads/Namma%20Veettu%20Pillai/Unkoodave%20Porakkanum.mp3
surprise,https://naasongs.vip/myuploads/uploads/Vedalam/Aaluma%20Doluma.mp3
enthusiasm,https://naasongs.vip/myuploads/uploads/Oh%20My%20Kadavule/Kadhaippoma.mp3
fun,https://naasongs.vip/myuploads/uploads/Master/Master%20the%20Blaster_320(PaglaSongs).mp3
love,https://naasongslyrics.org/wp-content/uploads/2021/01/Okey-Oka-Lokam-NaaSongLyrics.org_.mp3
empty,https://naasongs.vip/myuploads/uploads/Aaru%20/Paakatha.mp3
happiness,https://naasongs.vip/myuploads/uploads/Maara/Oh-Azhage.mp3
neutral,https://naasongs.vip/myuploads/uploads/Maara/Yaar-Azhaippadhu.mp3
relief,https://naasongs.vip/myuploads/uploads/Soorarai%20Pottru/Aagasam.mp3
love,https://naasongs.vip/myuploads/uploads/Soorarai%20Pottru/Kaattu-Payale.mp3
